PDB_Chain,Prediction,Curated_Annotation
2NRY_B,Active,None
2NRY_C,Inactive,None
2NRY_D,Active,None
2O0U_A,Inactive,Inactive
2O2U_A,Inactive,Inactive
2O3P_A,Active,Active
2O5K_A,Active,Active
2O63_A,Active,Active
2O64_A,Active,Active
2O65_A,Active,Active
2O8Y_A,Active,None
2O8Y_B,Active,None
2OBJ_A,Active,Active
2OF2_A,Active,Active
2OF4_A,Active,Active
2OFU_A,Active,Active
2OFV_A,Inactive,Inactive
2OFV_B,Inactive,Inactive
2OG8_A,Inactive,Inactive
2OG8_B,Inactive,Inactive
2OGV_A,Inactive,Inactive
2OH0_E,Active,Active
2OH4_A,Inactive,Inactive
2OI4_X,Active,Active
2OIB_A,Active,Active
2OIB_B,Active,Active
2OIB_C,Active,Active
2OIB_D,Active,Active
2OIC_A,Active,None
2OIC_B,Active,None
2OIC_C,Inactive,Inactive
2OIC_D,Active,Active
2OID_A,Active,Active
2OID_B,Active,None
2OID_C,Active,None
2OID_D,Active,Active
2OIQ_A,Inactive,Inactive
2OIQ_B,Active,None
2OJ9_A,Inactive,Inactive
2OJF_E,Active,Active
2OJG_A,Active,Active
2OJI_A,Active,Active
2OJJ_A,Active,Active
2OK1_A,Inactive,Inactive
2OKR_A,Inactive,Inactive
2OKR_D,Inactive,Inactive
2ONL_A,Inactive,Inactive
2ONL_B,Inactive,Inactive
2ONL_C,Active,None
2ONL_D,Active,None
2OO8_X,Inactive,Inactive
2OSC_A,Inactive,Inactive
2OU7_A,Active,Active
2OW3_A,Active,Active
2OW3_B,Active,Active
2OWB_A,Active,Active
2OXD_A,Active,Active
2OXX_A,Active,Active
2OXY_A,Active,Active
2OXY_B,Active,Active
2OZA_A,Active,None
2OZA_B,Inactive,None
2OZO_A,Inactive,Inactive
2P0C_A,Inactive,Inactive
2P0C_B,Inactive,Inactive
2P2H_A,Inactive,Inactive
2P2I_A,Inactive,Inactive
2P2I_B,Inactive,Inactive
2P33_A,Inactive,Inactive
2P3G_X,Active,None
2P4I_A,Inactive,Inactive
2P4I_B,Inactive,Inactive
2P55_A,Inactive,Inactive
2PE0_A,Active,None
2PE1_A,Active,None
2PE2_A,Active,None
2PHK_A,Active,Active
2PK9_A,Active,None
2PK9_C,Active,None
2PL0_A,Inactive,Inactive
2PMI_A,Active,None
2PMI_C,Active,None
2PML_X,Active,None
2PMN_X,Active,None
2PMO_X,Active,None
2PSQ_A,Active,Active
2PSQ_B,Active,Active
2PTK_A,Inactive,Inactive
2PUU_A,Inactive,Inactive
2PVF_A,Active,Active
2PVH_A,Active,Active
2PVJ_A,Active,Active
2PVK_A,Active,Active
2PVL_A,Active,Active
2PVM_A,Active,Active
2PVN_A,Active,Active
2PVR_A,Active,Active
2PVY_A,Active,Active
2PVY_B,Active,None
2PVY_C,Active,Active
2PVY_D,Active,Active
2PWL_A,Active,Active
2PWL_B,Active,Active
2PY3_A,Active,Active
2PY3_B,Active,Active
2PZ5_A,Active,Active
2PZ5_B,Active,Active
2PZI_A,Active,None
2PZI_B,Active,None
2PZP_A,Active,Active
2PZP_B,Active,Active
2PZR_A,Active,Active
2PZR_B,Active,Active
2PZY_A,Active,None
2PZY_B,Active,None
2PZY_C,Active,None
2PZY_D,Active,None
2Q0B_A,Active,Active
2Q0B_B,Active,Active
2Q0N_A,Active,Active
2QC6_A,Active,Active
2QCS_A,Active,Active
2QD9_A,Inactive,Inactive
2QG5_A,Active,None
2QG5_B,Active,None
2QG5_D,Active,None
2QHM_A,Active,Active
2QHN_A,Active,Active
2QI8_A,Active,None
2QI8_B,Inactive,Inactive
2QKR_A,Active,None
2QKW_B,Active,None
2QLQ_A,Inactive,Inactive
2QLQ_B,Inactive,Inactive
2QLU_A,Active,Active
2QNJ_A,Inactive,Inactive
2QNJ_B,Inactive,Inactive
2QO2_A,Inactive,Inactive
2QO7_A,Inactive,Inactive
2QO9_A,Active,None
2QOB_A,Active,None
2QOC_A,Active,None
2QOD_A,Inactive,Inactive
2QOF_A,Inactive,Inactive
2QOH_A,Active,Active
2QOH_B,Active,Active
2QOI_A,Inactive,Inactive
2QOK_A,Active,None
2QOL_A,Inactive,Inactive
2QON_A,Active,None
2QOO_A,Inactive,Inactive
2QOQ_A,Inactive,Inactive
2QQ7_A,Active,None
2QQ7_B,Inactive,Inactive
2QR7_A,Active,None
2QR8_A,Active,None
2QU5_A,Inactive,Inactive
2QU6_A,Inactive,Inactive
2QU6_B,Inactive,Inactive
2QUR_A,Active,None
2QVS_E,Active,None
2R0I_A,Inactive,Inactive
2R0I_B,Inactive,Inactive
2R0U_A,Active,Active
2R2P_A,Active,Active
2R3F_A,Inactive,Inactive
2R3G_A,Inactive,Inactive
2R3H_A,Inactive,Inactive
2R3I_A,Inactive,Inactive
2R3J_A,Inactive,Inactive
2R3K_A,Inactive,Inactive
2R3L_A,Inactive,Inactive
2R3M_A,Inactive,Inactive
2R3N_A,Inactive,Inactive
2R3O_A,Inactive,Inactive
2R3P_A,Inactive,Inactive
2R3Q_A,Inactive,Inactive
2R3R_A,Inactive,Inactive
2R4B_A,Inactive,Inactive
2R4B_B,Inactive,Inactive
2R5T_A,Inactive,Inactive
2R64_A,Inactive,Inactive
2R7B_A,Active,None
2R7I_A,Active,Active
2R7I_B,Active,Active
2R7I_C,Active,Active
2R7I_D,Active,Active
2R9S_A,Inactive,Inactive
2R9S_B,Inactive,Inactive
2REI_A,Inactive,Inactive
2RF9_A,Inactive,Inactive
2RF9_B,Inactive,Inactive
2RFD_A,Inactive,Inactive
2RFD_B,Inactive,Inactive
2RFE_A,Inactive,Inactive
2RFE_B,Inactive,Inactive
2RFE_C,Inactive,Inactive
2RFE_D,Inactive,Inactive
2RFN_A,Inactive,Inactive
2RFN_B,Inactive,Inactive
2RFS_A,Inactive,Inactive
2RG5_A,Inactive,Inactive
2RG6_A,Inactive,Inactive
2RGP_A,Inactive,Inactive
2RIO_A,Active,None
2RIO_B,Active,None
2RKU_A,Active,Active
2RL5_A,Inactive,Inactive
2RSV_A,Inactive,None
2SRC_A,Inactive,Inactive
2UUE_A,Active,Active
2UUE_C,Active,Active
2UV2_A,Active,Active
2UVX_A,Active,Active
2UVY_A,Active,Active
2UVZ_A,Active,Active
2UW0_A,Active,Active
2UW3_A,Active,Active
2UW4_A,Active,Active
2UW5_A,Active,Active
2UW6_A,Active,Active
2UW7_A,Active,Active
2UW8_A,Active,Active
2UW9_A,Active,Active
2UZB_A,Active,Active
2UZB_C,Active,Active
2UZD_A,Active,Active
2UZD_C,Active,Active
2UZE_A,Active,Active
2UZE_C,Active,Active
2UZL_A,Active,Active
2UZL_C,Active,Active
2UZN_A,Inactive,Inactive
2UZO_A,Inactive,Inactive
2UZT_A,Active,Active
2UZU_E,Active,Active
2UZV_A,Active,Active
2UZW_E,Active,Active
2V0D_A,Inactive,Inactive
2V22_A,Active,Active
2V22_C,Active,Active
2V55_A,Active,Active
2V55_C,Active,Active
2V5Q_A,Active,Active
2V5Q_B,Active,Active
2V62_A,Active,Active
2V62_B,Active,Active
2V7A_A,Active,Active
2V7A_B,Active,Active
2V7O_A,Active,Active
2VAG_A,Active,Active
2VD5_A,Active,Active
2VD5_B,Active,Active
2VGO_A,Active,Active
2VGO_B,Active,Active
2VGP_A,Active,Active
2VGP_B,Active,Active
2VN9_A,Active,Active
2VN9_B,Active,Active
2VNW_A,Active,Active
2VNY_A,Active,Active
2VO0_A,Active,Active
2VO3_A,Active,Active
2VO6_A,Active,Active
2VO7_A,Active,Active
2VRX_A,Active,Active
2VRX_B,Active,Active
2VTA_A,Inactive,Inactive
2VTH_A,Inactive,Inactive
2VTI_A,Inactive,Inactive
2VTJ_A,Inactive,Inactive
2VTL_A,Inactive,Inactive
2VTM_A,Inactive,Inactive
2VTN_A,Inactive,Inactive
2VTO_A,Inactive,Inactive
2VTP_A,Inactive,Inactive
2VTQ_A,Inactive,Inactive
2VTR_A,Inactive,Inactive
2VTS_A,Inactive,Inactive
2VTT_A,Inactive,Inactive
2VU3_A,Inactive,Inactive
2VUW_A,Inactive,None
2VV9_A,Inactive,Inactive
2VWB_A,Active,None
2VWB_B,Inactive,None
2VWI_A,Inactive,Inactive
2VWI_B,Inactive,Inactive
2VWI_C,Inactive,Inactive
2VWI_D,Inactive,Inactive
2VWU_A,Inactive,Inactive
2VWV_A,Inactive,Inactive
2VWW_A,Inactive,Inactive
2VWX_A,Inactive,None
2VWY_A,Inactive,None
2VWZ_A,Inactive,None
2VX0_A,Inactive,None
2VX1_A,Inactive,None
2VX3_A,Active,Active
2VX3_B,Active,Active
2VX3_C,Active,Active
2VX3_D,Active,Active
2VZ6_A,Active,Active
2VZ6_B,Active,Active
2W05_A,Inactive,Inactive
2W06_A,Inactive,Inactive
2W0J_A,Active,Active
2W17_A,Inactive,Inactive
2W1C_A,Active,Active
2W1D_A,Active,None
2W1E_A,Active,None
2W1F_A,Active,None
2W1G_A,Active,None
2W1H_A,Inactive,Inactive
2W1I_A,Active,Active
2W1I_B,Active,Active
2W1Z_A,Inactive,None
2W1Z_B,Inactive,None
2W4J_A,Active,Active
2W4K_A,Active,Active
2W4O_A,Inactive,Inactive
2W5A_A,Inactive,Inactive
2W5B_A,Inactive,Inactive
2W5H_A,Inactive,Inactive
2W7X_A,Active,None
2W96_B,Inactive,Inactive
2W99_B,Inactive,Inactive
2W9F_B,Inactive,Inactive
2W9Z_B,Inactive,Inactive
2WAJ_A,Inactive,None
2WB8_A,Inactive,None
2WD1_A,Inactive,Inactive
2WEI_A,Inactive,None
2WEL_A,Active,Active
2WEV_A,Active,Active
2WEV_C,Active,Active
2WFY_A,Active,Active
2WFY_C,Active,Active
2WGJ_A,Inactive,Inactive
2WHB_A,Active,Active
2WHB_C,Active,Active
2WIH_A,Active,Active
2WIH_C,Active,Active
2WIP_A,Active,Active
2WIP_C,Active,Active
2WKM_A,Inactive,Inactive
2WMA_A,Active,Active
2WMA_C,Active,Active
2WMB_A,Active,Active
2WMB_C,Active,Active
2WMQ_A,Active,Active
2WMR_A,Active,Active
2WMS_A,Active,Active
2WMT_A,Active,Active
2WMU_A,Active,Active
2WMV_A,Active,Active
2WMW_A,Active,Active
2WMX_A,Active,Active
2WNT_A,Active,None
2WNT_B,Active,None
2WO6_A,Active,Active
2WO6_B,Active,Active
2WOT_A,Active,None
2WOU_A,Active,None
2WPA_A,Active,Active
2WPA_C,Active,Active
2WQB_A,Inactive,Inactive
2WQE_A,Inactive,Inactive
2WQM_A,Inactive,Inactive
2WQN_A,Inactive,Inactive
2WQO_A,Inactive,Inactive
2WTC_A,Active,Active
2WTD_A,Active,Active
2WTI_A,Active,Active
2WTJ_A,Active,Active
2WTK_B,Active,None
2WTK_C,Active,None
2WTK_E,Active,None
2WTK_F,Active,None
2WTV_A,Inactive,Inactive
2WTV_B,Inactive,Inactive
2WTV_C,Inactive,Inactive
2WTV_D,Inactive,Inactive
2WTW_A,Active,None
2WU6_A,Active,Active
2WU7_A,Active,Active
2WXV_A,Active,Active
2WXV_C,Active,Active
2WZJ_A,Inactive,Inactive
2WZJ_B,Inactive,Inactive
2WZJ_C,Inactive,Inactive
2WZJ_D,Inactive,Inactive
2WZJ_E,Inactive,Inactive
2WZJ_F,Inactive,Inactive
2X0G_A,Active,Active
2X1N_A,Active,Active
2X1N_C,Active,Active
2X2K_A,Active,Active
2X2L_A,Active,Active
2X2M_A,Active,Active
2X2M_B,Active,Active
2X39_A,Active,Active
2X4F_A,Active,Active
2X4F_B,Active,Active
2X4Z_A,Active,Active
2X6D_A,Active,None
2X6E_A,Inactive,None
2X7F_A,Inactive,None
2X7F_B,Inactive,None
2X7F_C,Inactive,None
2X7F_D,Inactive,None
2X7F_E,Inactive,Inactive
2X7G_A,Active,None
2X7O_A,Active,None
2X7O_B,Active,None
2X7O_C,Active,None
2X7O_D,Active,None
2X7O_E,Active,None
2X81_A,Inactive,Inactive
2X8D_A,Active,Active
2X8E_A,Active,Active
2X8I_A,Active,Active
2X9E_A,Inactive,Inactive
2X9F_A,Inactive,Inactive
2XA4_A,Active,Active
2XA4_B,Active,Active
2XB7_A,Inactive,None
2XBA_A,Active,None
2XBJ_A,Active,Active
2XCH_A,Active,None
2XCK_A,Active,None
2XEY_A,Active,Active
2XEZ_A,Active,Active
2XF0_A,Active,Active
2XH5_A,Active,Active
2XIK_A,Active,Active
2XIR_A,Inactive,Inactive
2XIX_A,Active,Active
2XIY_A,Active,Active
2XIZ_A,Active,Active
2XJ0_A,Active,Active
2XJ1_A,Active,Active
2XJ2_A,Active,Active
2XK3_A,Inactive,Inactive
2XK4_A,Inactive,Inactive
2XK6_A,Inactive,Inactive
2XK7_A,Inactive,Inactive
2XK8_A,Inactive,Inactive
2XK9_A,Active,Active
2XKC_A,Inactive,Inactive
2XKD_A,Inactive,Inactive
2XKE_A,Inactive,Inactive
2XKF_A,Inactive,Inactive
2XM8_A,Active,None
2XM9_A,Active,Active
2XMY_A,Inactive,Inactive
2XNB_A,Inactive,Inactive
2XNE_A,Active,None
2XNG_A,Active,None
2XNM_A,Inactive,Inactive
2XNN_A,Inactive,Inactive
2XNO_A,Inactive,Inactive
2XNP_A,Inactive,Inactive
2XP2_A,Active,None
2XRU_A,Inactive,None
2XRW_A,Inactive,Inactive
2XS0_A,Inactive,Inactive
2XUU_A,Active,Active
2XVD_A,Inactive,None
2XYN_A,Active,None
2XYN_B,Active,None
2XYN_C,Active,None
2XYU_A,Inactive,Inactive
2XZS_A,Active,Active
2XZS_B,Active,Active
2Y0A_A,Active,Active
2Y4I_B,Inactive,Inactive
2Y4I_C,Inactive,Inactive
2Y4P_A,Active,None
2Y4P_B,Active,None
2Y4P_C,Active,None
2Y4P_D,Active,None
2Y6M_A,Inactive,Inactive
2Y6O_A,Inactive,Inactive
2Y7J_A,Active,Active
2Y7J_B,Active,Active
2Y7J_C,Active,Active
2Y7J_D,Active,Active
2Y8O_A,Inactive,Inactive
2Y9Q_A,Active,Active
2YA9_A,Active,Active
2YA9_B,Active,Active
2YAA_A,Active,Active
2YAA_B,Active,Active
2YAB_A,Active,Active
2YAB_B,Active,Active
2YAC_A,Active,Active
2YAK_A,Active,Active
2YCF_A,Active,Active
2YCQ_A,Active,None
2YCR_A,Active,Active
2YCS_A,Active,Active
2YDI_A,Active,Active
2YDJ_A,Active,Active
2YDJ_B,Active,Active
2YDK_A,Active,Active
2YER_A,Active,Active
2YEX_A,Active,Active
2YFX_A,Active,Active
2YHV_A,Active,Active
2YIQ_A,Active,Active
2YIR_A,Active,None
2YIS_A,Inactive,Inactive
2YIT_A,Active,Active
2YIW_A,Inactive,Inactive
2YIX_A,Inactive,None
2YIY_A,Inactive,Inactive
2YJR_A,Inactive,Inactive
2YJS_A,Inactive,None
2YM3_A,Active,Active
2YM4_A,Active,Active
2YM5_A,Active,Active
2YM6_A,Active,Active
2YM7_A,Active,Active
2YM8_A,Active,Active
2YN8_A,Inactive,Inactive
2YN8_B,Inactive,Inactive
2YWP_A,Active,Active
2YZA_A,Inactive,Inactive
2Z2W_A,Active,None
2Z60_A,Active,Active
2Z7L_A,Active,Active
2Z7Q_A,Inactive,Inactive
2Z7R_A,Inactive,Inactive
2Z7S_A,Inactive,Inactive
2Z8C_A,Active,Active
2ZAZ_A,Inactive,None
2ZB0_A,Inactive,None
2ZB1_A,Inactive,Inactive
2ZDT_A,Inactive,Inactive
2ZDU_A,Inactive,Inactive
2ZJW_A,Active,Active
2ZM1_A,Active,Active
2ZM3_A,Active,Active
2ZM3_B,Active,Active
2ZM3_C,Active,Active
2ZM3_D,Active,Active
2ZM4_A,Active,Active
2ZMC_A,Inactive,Inactive
2ZMD_A,Inactive,Inactive
2ZOQ_A,Active,Active
2ZOQ_B,Active,Active
2ZV2_A,Active,Active
2ZV7_A,Active,None
2ZV8_A,Active,None
2ZV9_A,Active,None
2ZVA_A,Active,Active
2ZYB_A,Active,Active
3A2C_A,Active,None
3A2C_B,Active,None
3A2C_C,Active,None
3A2C_D,Active,None
3A2C_E,Active,None
3A2C_F,Active,None
3A2C_G,Active,None
3A2C_H,Active,None
3A2C_I,Active,None
3A2C_J,Inactive,None
3A2C_K,Active,None
3A2C_L,Active,None
3A4O_X,Active,None
3A4P_A,Inactive,Inactive
3A60_A,Inactive,Inactive
3A60_B,Inactive,Inactive
3A61_A,Inactive,Inactive
3A62_A,Inactive,Inactive
3A7F_A,Active,None
3A7G_A,Active,Active
3A7G_B,Active,Active
3A7H_A,Active,Active
3A7H_B,Active,Active
3A7I_A,Active,Active
3A7J_A,Active,Active
3A8W_A,Active,Active
3A8W_B,Active,Active
3A8X_A,Active,Active
3A8X_B,Active,Active
3A99_A,Active,Active
3AC1_A,Active,Active
3AC2_A,Active,Active
3AC3_A,Active,Active
3AC4_A,Active,Active
3AC5_A,Active,Active
3AC8_A,Active,Active
3ACJ_A,Active,Active
3ACK_A,Active,Active
3AD4_A,Active,Active
3AD5_A,Active,Active
3AD6_A,Active,Active
3AG9_A,Active,Active
3AG9_B,Active,Active
3AGL_A,Active,Active
3AGL_B,Active,Active
3AGM_A,Active,Active
3ALN_A,Inactive,Inactive
3ALN_B,Inactive,Inactive
3ALN_C,Inactive,Inactive
3ALO_A,Inactive,Inactive
3AMA_A,Active,Active
3AMB_A,Active,Active
3AMY_A,Active,Active
3ANQ_A,Active,Active
3ANQ_B,Active,Active
3ANQ_C,Active,Active
3ANQ_D,Active,Active
3ANR_A,Active,Active
3ANR_B,Active,Active
3ANR_C,Active,Active
3ANR_D,Active,Active
3AOX_A,Active,None
3AQV_A,Inactive,Inactive
3AT2_A,Active,Active
3AT3_A,Active,Active
3AT4_A,Active,Active
3AXW_A,Active,Active
3B2T_A,Active,Active
3B2T_B,Active,Active
3B2W_A,Inactive,None
3B8Q_A,Inactive,Inactive
3B8Q_B,Inactive,Inactive
3B8R_A,Inactive,Inactive
3B8R_B,Inactive,Inactive
3BBT_B,Inactive,Inactive
3BBT_D,Inactive,Inactive
3BBW_A,Inactive,Inactive
3BBW_B,Inactive,Inactive
3BCE_A,Active,Active
3BCE_B,Active,Active
3BCE_C,Active,Active
3BE2_A,Inactive,Inactive
3BE9_A,Active,Active
3BEA_A,Inactive,Inactive
3BEG_A,Active,None
3BEL_A,Inactive,Inactive
3BGP_A,Active,Active
3BGQ_A,Active,Active
3BGZ_A,Active,Active
3BHH_A,Active,None
3BHH_B,Active,Active
3BHH_C,Active,None
3BHH_D,Active,None
3BHT_A,Active,Active
3BHT_C,Active,Active
3BHU_A,Active,Active
3BHU_C,Active,Active
3BHV_A,Active,Active
3BHV_C,Active,Active
3BHY_A,Active,None
3BI6_A,Active,None
3BIZ_A,Active,None
3BKB_A,Active,Active
3BLH_A,Active,Active
3BLQ_A,Active,Active
3BLR_A,Active,Active
3BPR_A,Inactive,Inactive
3BPR_B,Inactive,Inactive
3BPR_C,Inactive,Inactive
3BPR_D,Inactive,Inactive
3BQC_A,Active,Active
3BQR_A,Active,Active
3BRB_A,Inactive,Inactive
3BRB_B,Inactive,Inactive
3BU3_A,Active,Active
3BU5_A,Active,Active
3BU6_A,Active,Active
3BV2_A,Inactive,Inactive
3BV3_A,Inactive,Inactive
3BWF_A,Active,Active
3BWJ_A,Active,Active
3BX5_A,Inactive,Inactive
3BYM_A,Active,Active
3BYO_A,Active,Active
3BYS_A,Inactive,Inactive
3BYU_A,Inactive,Inactive
3BYV_A,Inactive,None
3BZ3_A,Inactive,Inactive
3C0G_A,Active,None
3C0G_B,Active,None
3C0H_A,Active,None
3C0H_B,Active,None
3C0I_A,Active,None
3C13_A,Active,Active
3C1X_A,Inactive,Inactive
3C4C_A,Inactive,Inactive
3C4C_B,Inactive,Inactive
3C4E_A,Active,Active
3C4E_B,Active,Active
3C4E_C,Active,Active
3C4E_D,Active,Active
3C4F_A,Inactive,None
3C4F_B,Inactive,None
3C4W_A,Active,None
3C4W_B,Active,None
3C4X_A,Active,None
3C4X_B,Active,None
3C4Y_A,Inactive,None
3C4Y_B,Inactive,None
3C4Z_A,Active,None
3C50_A,Active,None
3C50_B,Active,None
3C51_A,Active,None
3C51_B,Active,None
3C5U_A,Inactive,Inactive
3C7Q_A,Inactive,Inactive
3C9W_A,Active,None
3C9W_B,Active,None
3CBL_A,Active,Active
3CC6_A,Inactive,Inactive
3CCN_A,Inactive,Inactive
3CD3_A,Active,Active
3CD8_A,Inactive,Inactive
3CE3_A,Inactive,Inactive
3CEK_A,Inactive,Inactive
3CGF_A,Inactive,Inactive
3CGO_A,Inactive,Inactive
3CIK_A,Active,None
3CJF_A,Inactive,Inactive
3CJG_A,Active,None
3CKW_A,Inactive,Inactive
3CKX_A,Active,Active
3CLY_A,Active,Active
3COH_A,Inactive,Inactive
3COH_B,Inactive,Inactive
3COI_A,Inactive,Inactive
3COK_A,Active,None
3COK_B,Active,None
3COM_A,Active,Active
3COM_B,Active,None
3CP9_A,Inactive,Inactive
3CP9_B,Inactive,Inactive
3CPB_A,Inactive,Inactive
3CPB_B,Inactive,Inactive
3CPC_A,Inactive,Inactive
3CPC_B,Inactive,Inactive
3CQE_A,Active,None
3CQU_A,Active,Active
3CQW_A,Active,Active
3CR0_A,Active,None
3CS9_A,Inactive,Inactive
3CS9_B,Inactive,Inactive
3CS9_C,Inactive,Inactive
3CS9_D,Inactive,Inactive
3CTH_A,Inactive,Inactive
3CTJ_A,Inactive,Inactive
3CTQ_A,Inactive,Inactive
3CXW_A,Active,Active
3CY2_A,Active,Active
3CY3_A,Active,Active
3D0E_A,Active,Active
3D0E_B,Active,Active
3D14_A,Active,None
3D15_A,Active,None
3D2I_A,Active,None
3D2K_A,Active,None
3D4Q_A,Active,None
3D4Q_B,Active,None
3D5U_A,Active,Active
3D5V_A,Active,None
3D5W_A,Active,Active
3D5X_A,Active,None
3D7T_A,Inactive,Inactive
3D7T_B,Inactive,Inactive
3D7U_A,Active,None
3D7U_B,Inactive,Inactive
3D7U_C,Active,None
3D7U_D,Inactive,Inactive
3D7Z_A,Inactive,None
3D83_A,Inactive,Inactive
3D94_A,Inactive,Inactive
3D9V_A,Active,Active
3D9V_B,Active,Active
3DA6_A,Inactive,Inactive
3DAE_A,Inactive,None
3DAE_B,Inactive,None
3DAJ_A,Inactive,Inactive
3DAK_A,Inactive,Inactive
3DAK_B,Inactive,Inactive
3DAK_C,Inactive,Inactive
3DAK_D,Inactive,Inactive
3DB6_A,Active,Active
3DB8_A,Active,None
3DBC_A,Active,None
3DBD_A,Active,None
3DBE_A,Active,Active
3DBF_A,Active,None
3DBQ_A,Inactive,Inactive
3DCV_A,Active,Active
3DDP_A,Active,Active
3DDP_C,Active,Active
3DDQ_A,Active,Active
3DDQ_C,Active,Active
3DFA_A,Inactive,None
3DFC_B,Active,Active
3DGK_A,Active,Active
3DJ5_A,Inactive,Inactive
3DJ6_A,Inactive,Inactive
3DJ7_A,Active,None
3DK3_A,Inactive,Inactive
3DK3_B,Inactive,Inactive
3DK6_A,Inactive,Inactive
3DK6_B,Inactive,Inactive
3DK7_A,Inactive,Inactive
3DK7_B,Inactive,Inactive
3DKC_A,Inactive,Inactive
3DKF_A,Inactive,Inactive
3DKG_A,Inactive,Inactive
3DKO_A,Inactive,Inactive
3DLS_A,Active,Active
3DLS_B,Active,Active
3DLS_C,Active,Active
3DLS_D,Active,Active
3DLS_E,Active,Active
3DLS_F,Active,Active
3DLZ_A,Inactive,None
3DND_A,Active,Active
3DNE_A,Active,Active
3DOG_A,Active,Active
3DOG_C,Active,Active
3DPK_A,Inactive,Inactive
3DQW_A,Active,Active
3DQW_B,Active,Active
3DQW_C,Active,Active
3DQW_D,Active,Active
3DQX_A,Active,None
3DQX_B,Active,None
3DS6_A,Inactive,Inactive
3DS6_B,Inactive,Inactive
3DS6_C,Inactive,None
3DS6_D,Inactive,None
3DT1_A,Inactive,None
3DTC_A,Inactive,Inactive
3DTW_A,Inactive,Inactive
3DTW_B,Inactive,Inactive
3DU8_A,Active,Active
3DU8_B,Active,Active
3DV3_A,Inactive,Inactive
3DXN_A,Inactive,None
3DY7_A,Inactive,Inactive
3DZO_A,Inactive,None
3DZQ_A,Inactive,Inactive
3E3B_X,Active,Active
3E3P_A,Active,None
3E3P_B,Active,None
3E5A_A,Active,Active
3E62_A,Active,None
3E63_A,Active,None
3E64_A,Active,None
3E7O_A,Inactive,None
3E7O_B,Inactive,Inactive
3E7V_A,Inactive,None
3E87_A,Active,None
3E87_B,Active,None
3E88_A,Active,None
3E88_B,Active,None
3E8C_A,Active,Active
3E8C_B,Active,Active
3E8C_C,Active,Active
3E8C_D,Active,Active
3E8C_E,Active,Active
3E8C_F,Active,Active
3E8D_A,Active,Active
3E8D_B,Active,Active
3E8E_A,Active,Active
3E8E_B,Active,Active
3E8E_E,Active,Active
3E8E_I,Active,Active
3E8E_L,Active,Active
3E8E_P,Active,Active
3E8N_A,Inactive,Inactive
3E92_A,Inactive,None
3E93_A,Inactive,None
3EB0_A,Active,None
3EB0_C,Active,None
3EFJ_A,Inactive,Inactive
3EFJ_B,Inactive,Inactive
3EFK_A,Inactive,Inactive
3EFK_B,Inactive,Inactive
3EFL_A,Inactive,Inactive
3EFL_B,Inactive,Inactive
3EFW_A,Inactive,Inactive
3EFW_B,Inactive,Inactive
3EH9_A,Active,Active
3EHA_A,Active,Active
3EID_A,Active,Active
3EID_C,Active,Active
3EJ1_A,Active,Active
3EJ1_C,Active,Active
3EKK_A,Inactive,Inactive
3EKN_A,Inactive,None
3EL7_A,Inactive,Inactive
3EL8_A,Inactive,Inactive
3EL8_B,Active,None
3ELJ_A,Inactive,Inactive
3EMG_A,Active,Active
3EN4_A,Inactive,Inactive
3EN4_B,Active,None
3EN5_A,Inactive,Inactive
3EN5_B,Inactive,Inactive
3EN6_A,Inactive,Inactive
3EN6_B,Inactive,Inactive
3EN7_A,Inactive,Inactive
3EN7_B,Inactive,Inactive
3EN9_A,Inactive,None
3EN9_B,Inactive,None
3ENH_A,Inactive,None
3ENH_B,Inactive,None
3ENM_A,Inactive,Inactive
3ENM_B,Inactive,Inactive
3ENM_C,Inactive,Inactive
3ENM_D,Inactive,Inactive
3EOC_A,Active,Active
3EOC_C,Active,Active
3EQB_A,Inactive,Inactive
3EQC_A,Inactive,Inactive
3EQD_A,Inactive,Inactive
3EQF_A,Inactive,Inactive
3EQG_A,Inactive,Inactive
3EQH_A,Inactive,Inactive
3EQI_A,Inactive,Inactive
3EQP_A,Active,Active
3EQP_B,Active,Active
3EQR_A,Active,Active
3EQR_B,Active,Active
3ERK_A,Active,Active
3ET7_A,Inactive,Inactive
3ETA_A,Inactive,Inactive
3ETA_B,Inactive,Inactive
3EWH_A,Inactive,Inactive
3EYG_A,Active,Active
3EYH_A,Active,Active
3EZR_A,Inactive,Inactive
3EZV_A,Inactive,Inactive
3F2A_A,Active,Active
3F2N_A,Inactive,None
3F3T_A,Inactive,Inactive
3F3T_B,Active,None
3F3U_A,Inactive,Inactive
3F3U_B,Inactive,Inactive
3F3V_A,Inactive,Inactive
3F3V_B,Inactive,Inactive
3F3W_A,Inactive,Inactive
3F3W_B,Inactive,Inactive
3F3Z_A,Active,None
3F5G_A,Active,Active
3F5P_A,Active,Active
3F5P_B,Active,Active
3F5P_C,Active,Active
3F5P_D,Active,Active
3F5P_E,Active,Active
3F5P_F,Active,Active
3F5P_G,Active,Active
3F5P_H,Active,Active
3F5P_I,Active,Active
3F5P_J,Active,Active
3F5P_K,Active,Active
3F5P_L,Active,Active
3F5P_M,Active,Active
3F5P_R,Active,Active
3F5P_S,Active,Active
3F5P_T,Active,Active
3F5U_A,Active,Active
3F5X_A,Active,Active
3F5X_C,Active,Active
3F61_A,Inactive,None
3F66_A,Inactive,Inactive
3F66_B,Inactive,Inactive
3F69_A,Inactive,None
